,func,input,result
792,Our Formula +1,(530),36736
793,Our Formula -1,(530),0
794,Our Formula 0,(530),7239104
795,Our Formula +1,(532),36438
796,Our Formula -1,(532),186
797,Our Formula 0,(532),3755472
798,Our Formula +1,(534),39784
799,Our Formula -1,(534),0
800,Our Formula 0,(534),6210152
801,Our Formula +1,(536),45024
802,Our Formula -1,(536),132
803,Our Formula 0,(536),4659852
804,Our Formula +1,(538),36180
805,Our Formula -1,(538),0
806,Our Formula 0,(538),9624148
807,Our Formula +1,(540),38182
808,Our Formula -1,(540),186
809,Our Formula 0,(540),2566592
810,Our Formula +1,(542),36720
811,Our Formula -1,(542),0
812,Our Formula 0,(542),9841230
813,Our Formula +1,(544),48362
814,Our Formula -1,(544),182
815,Our Formula 0,(544),4651616
816,Our Formula +1,(546),43144
817,Our Formula -1,(546),0
818,Our Formula 0,(546),5303288
819,Our Formula +1,(548),37468
820,Our Formula -1,(548),68
821,Our Formula 0,(548),5030368
822,Our Formula +1,(550),38424
823,Our Formula -1,(550),0
824,Our Formula 0,(550),7496576
825,Our Formula +1,(552),53696
826,Our Formula -1,(552),360
827,Our Formula 0,(552),3273400
828,Our Formula +1,(554),38364
829,Our Formula -1,(554),0
830,Our Formula 0,(554),10512012
831,Our Formula +1,(556),38571
832,Our Formula -1,(556),69
833,Our Formula 0,(556),5255592
834,Our Formula +1,(558),39680
835,Our Formula -1,(558),0
836,Our Formula 0,(558),6940900
837,Our Formula +1,(560),59184
838,Our Formula -1,(560),416
839,Our Formula 0,(560),3676720
840,Our Formula +1,(562),39480
841,Our Formula -1,(562),0
842,Our Formula 0,(562),10975720
843,Our Formula +1,(564),44374
844,Our Formula -1,(564),186
845,Our Formula 0,(564),3587600
846,Our Formula +1,(566),40044
847,Our Formula -1,(566),0
848,Our Formula 0,(566),11212602
849,Our Formula +1,(568),50552
850,Our Formula -1,(568),140
851,Our Formula 0,(568),5555468
852,Our Formula +1,(570),47720
853,Our Formula -1,(570),0
854,Our Formula 0,(570),5779960
855,Our Formula +1,(572),41750
856,Our Formula -1,(572),202
857,Our Formula 0,(572),4831488
858,Our Formula +1,(574),42288
859,Our Formula -1,(574),0
860,Our Formula 0,(574),9807552
861,Our Formula +1,(576),53658
862,Our Formula -1,(576),198
863,Our Formula 0,(576),3899808
864,Our Formula +1,(578),41760
865,Our Formula -1,(578),0
866,Our Formula 0,(578),11277792
867,Our Formula +1,(580),44024
868,Our Formula -1,(580),200
869,Our Formula 0,(580),4632896
870,Our Formula +1,(582),47240
871,Our Formula -1,(582),0
872,Our Formula 0,(582),8054200
873,Our Formula +1,(584),53436
874,Our Formula -1,(584),144
875,Our Formula 0,(584),6043380
876,Our Formula +1,(586),42924
877,Our Formula -1,(586),0
878,Our Formula 0,(586),12448252
879,Our Formula +1,(588),48222
880,Our Formula -1,(588),194
881,Our Formula 0,(588),3557200
882,Our Formula +1,(590),45496
883,Our Formula -1,(590),0
884,Our Formula 0,(590),10015184
